"Domaine","Table","Attribut","Type"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_contratachat","cloture_le","date"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_contratachat","commentaire_general","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_contratachat","controle_sur_le_solde","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_contratachat","controle_sur_les_articles","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_contratachat","controle_sur_les_dates_d_effet","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_contratachat","date_creation_systeme","timestamp without time zone"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_contratachat","date_d_effet_de_debut","date"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_contratachat","date_d_effet_de_fin","date"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_contratachat","date_d_effet_par_rapport_a","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_contratachat","date_d_ouverture","date"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_contratachat","date_fin_validite","timestamp without time zone"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_contratachat","date_modification_systeme","timestamp without time zone"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_contratachat","description","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_contratachat","etat_d_avancement","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_contratachat","niveau_d_engagement","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_contratachat","numero_de_contrat","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_contratachat","solde","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_contratachat","supprimer_commandes_previsionnelles","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_contratachat","type_d_engagement","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_contratachat","valeur_d_engagement","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_contratachat","id_contact","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_contratachat","id_creeparsysteme","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_contratachat","id_fournisseur","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_contratachat","id_modifieparsysteme","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_contratachat","id_unite","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_contratachat","sup_date_de_preavis","timestamp without time zone"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_contratachat","sup_date_de_preavis__delai_de_realisation","timestamp without time zone"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_contratachat","sup_duree_de_la_reconduction_tacite_en_mois","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_contratachat","sup_duree_du_contrat__en_mois","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_contratachat","sup_periodicite_de_facturation_en_mois","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_contratachat","sup_reconduction_tacite","text"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_engagementcommandeachat","id_engagementcommandeachat","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_engagementcommandeachat","date_creation_systeme","timestamp without time zone"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_engagementcommandeachat","date_de_calcul","timestamp without time zone"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_engagementcommandeachat","date_de_la_commandeachat","date"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_engagementcommandeachat","date_fin_validite","timestamp without time zone"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_engagementcommandeachat","date_modification_systeme","timestamp without time zone"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_engagementcommandeachat","total_des_engagements","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_engagementcommandeachat","id_creeparsysteme","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_engagementcommandeachat","id_etablissement","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_engagementcommandeachat","id_modifieparsysteme","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","id_factureachat","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","categorie_sav","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","code_de_la_demande_d_avoir","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","commentaire","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","date_creation_systeme","timestamp without time zone"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","date_fin_validite","timestamp without time zone"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","date_d_exigibilite_deb","timestamp without time zone"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","date_de_publication","timestamp without time zone"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","date_modification_systeme","timestamp without time zone"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","demande_d_avoir","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","echeance_au","date"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","etat_acompte","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","etat_de_preparation_de_reglement","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","etat_de_reglement","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","etat_deb","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","facturation","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","facture","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","facture_le","date"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","identifiant_edi","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","mode_de_saisie_du_total_ttc","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","montant_de_l_acompte","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","montant_de_l_acompte_devise_societe","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","montant_de_l_escompte","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","montant_de_l_escompte_devise_societe","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","montant_de_preparation","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","montant_de_preparation_devise_societe","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","montant_regle","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","montant_regle_devise_societe","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","net_a_payer","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","net_a_payer_devise_societe","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","poids_total","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","pourcentage_d_acompte","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","pourcentage_d_escompte","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","reference","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","reference_bvr","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","solde","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","statut_d_integration","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","statut_de_preparation_d_integration","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","statut_de_publication","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","total_ht","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","total_ht_devise_societe","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","total_ttc","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","total_ttc_devise_societe","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","total_tva","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","total_tva_devise_societe","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","type_de_depense","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","type_document_facturation","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","type_de_facture","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","type_de_facture_immediate","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","volume_total","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","id_acheteur","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","id_adressefacturation","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","id_adressefournisseur","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","id_adresselivraison","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","id_affaire","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","id_commandeachat","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","id_conditionreglement","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","id_contact","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","id_creeparsysteme","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","id_devise","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","id_echeancefacturation","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","id_factureachatorigine","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","id_fournisseur","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","id_litigesurfacture","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","id_modereglement","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","id_modifieparsysteme","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","id_tauxdevise","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_factureachat","sup_date_a_verifier","text"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductioncommandeachat","id_fraisreductioncommandeachat","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductioncommandeachat","date_creation_systeme","timestamp without time zone"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductioncommandeachat","date_fin_validite","timestamp without time zone"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductioncommandeachat","date_modification_systeme","timestamp without time zone"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductioncommandeachat","frais_de_transport","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductioncommandeachat","index_document_commercial","integer"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductioncommandeachat","montant_ht","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductioncommandeachat","montant_ht_devise_societe","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductioncommandeachat","pourcentage","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductioncommandeachat","id_affaire","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductioncommandeachat","id_commandeachat","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductioncommandeachat","id_creeparsysteme","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductioncommandeachat","id_decaissementachat","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductioncommandeachat","id_fraisreduction","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductioncommandeachat","id_modifieparsysteme","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductioncommandeachat","id_tva","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductioncommandeachat","id_typetva","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductionfactureachat","id_fraisreductionfactureachat","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductionfactureachat","date_creation_systeme","timestamp without time zone"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductionfactureachat","date_fin_validite","timestamp without time zone"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductionfactureachat","date_modification_systeme","timestamp without time zone"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductionfactureachat","frais_de_transport","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductionfactureachat","index_document_commercial","integer"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductionfactureachat","montant_ht","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductionfactureachat","montant_ht_ddevise_societe","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductionfactureachat","pourcentage","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductionfactureachat","id_affaire","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductionfactureachat","id_creeparsysteme","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductionfactureachat","id_decaissementachat","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductionfactureachat","id_factureachat","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductionfactureachat","id_fraisreduction","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductionfactureachat","id_modifieparsysteme","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductionfactureachat","id_tva","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductionfactureachat","id_typetva","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductionreceptionachat","id_fraisreductionreceptionachat","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductionreceptionachat","date_creation_systeme","timestamp without time zone"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductionreceptionachat","date_fin_validite","timestamp without time zone"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductionreceptionachat","date_modification_systeme","timestamp without time zone"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductionreceptionachat","frais_de_transport","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductionreceptionachat","index_document_commercial","integer"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductionreceptionachat","montant_ht","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductionreceptionachat","montant_ht_devise_societe","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductionreceptionachat","pourcentage","numeric"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductionreceptionachat","id_affaire","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductionreceptionachat","id_creeparsysteme","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductionreceptionachat","id_decaissementachat","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductionreceptionachat","id_fraisreduction","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductionreceptionachat","id_modifieparsysteme","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductionreceptionachat","id_receptionachat","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductionreceptionachat","id_tva","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_fraisreductionreceptionachat","id_typetva","character varying"
"TARRERIAS_GENERALE_DE_DECOUPAGE_Achat","f_lignecommandeachat","id_lignecommandeachat","character varying"
